Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(35, 32)",blackwhite/string_image,euclidean,250,0.5585,0.27699995040893555,9.502000331878662e-05
8,"(35, 32)",blackwhite/string_image,hamming,250,0.55862,0.2589998245239258,0.0003419800043106079
8,"(35, 32)",color/string_image/not_smooth,euclidean,1,0.56492,1.9279999732971191,0.00044084000110626223
8,"(35, 32)",color/string_image/not_smooth,hamming,1,0.56492,1.8029999732971191,0.000547039999961853
8,"(35, 32)",color/string_image/not_smooth,euclidean,4,0.56498,1.8279998302459717,0.0004246600008010864
8,"(35, 32)",color/string_image/not_smooth,hamming,4,0.56498,2.0909998416900635,0.0005276999998092652
8,"(35, 32)",color/string_image/not_smooth,euclidean,20,0.56498,1.688999891281128,0.0004015999984741211
8,"(35, 32)",color/string_image/not_smooth,hamming,20,0.56498,1.8980000019073486,0.0005143400001525879
8,"(35, 32)",color/string_image/not_smooth,euclidean,50,0.56498,1.869999885559082,0.00041284000396728514
8,"(35, 32)",color/string_image/not_smooth,hamming,50,0.56498,1.7220001220703125,0.0005417999982833862
8,"(35, 32)",color/string_image/not_smooth,euclidean,100,0.56498,1.7910001277923584,0.00039001999855041506
8,"(35, 32)",color/string_image/not_smooth,hamming,100,0.56498,1.8980000019073486,0.0005501399993896485
8,"(35, 32)",color/string_image/not_smooth,euclidean,250,0.56498,1.7450001239776611,0.0004819600009918213
8,"(35, 32)",color/string_image/not_smooth,hamming,250,0.56498,1.7249999046325684,0.0005719799995422363
8,"(35, 32)",color/full_image/not_smooth,euclidean,1,0.54164,0.9039998054504395,0.00020906000137329103
8,"(35, 32)",color/full_image/not_smooth,hamming,1,0.54164,0.8370001316070557,0.0004262999963760376
8,"(35, 32)",color/full_image/not_smooth,euclidean,4,0.5428,1.0090000629425049,0.00020281999588012695
8,"(35, 32)",color/full_image/not_smooth,hamming,4,0.5428,0.8650000095367432,0.00040116000175476074
8,"(35, 32)",color/full_image/not_smooth,euclidean,20,0.54144,0.9679999351501465,0.00020888000011444092
8,"(35, 32)",color/full_image/not_smooth,hamming,20,0.54146,0.879000186920166,0.0004021599960327148
8,"(35, 32)",color/full_image/not_smooth,euclidean,50,0.56376,0.9050002098083496,0.00019661999702453613
8,"(35, 32)",color/full_image/not_smooth,hamming,50,0.56358,0.9730000495910645,0.00037288000106811524
8,"(35, 32)",color/full_image/not_smooth,euclidean,100,0.56504,0.8850002288818359,0.00020175999641418456
8,"(35, 32)",color/full_image/not_smooth,hamming,100,0.56504,0.8159999847412109,0.0004386999988555908
8,"(35, 32)",color/full_image/not_smooth,euclidean,250,0.5649,0.8899998664855957,0.00025372000217437746
8,"(35, 32)",color/full_image/not_smooth,hamming,250,0.56436,0.8889999389648438,0.00047895999908447264
8,"(35, 32)",grayscale/full_image,euclidean,1,0.45472,1.5250000953674316,0.0003179199981689453
8,"(35, 32)",grayscale/full_image,hamming,1,0.45472,1.686000108718872,0.000427039999961853
8,"(35, 32)",grayscale/full_image,euclidean,4,0.44786,1.5339999198913574,0.0002929400014877319
8,"(35, 32)",grayscale/full_image,hamming,4,0.44786,1.5199999809265137,0.0004095799970626831
8,"(35, 32)",grayscale/full_image,euclidean,20,0.56498,1.6399998664855957,0.00033940000057220457
8,"(35, 32)",grayscale/full_image,hamming,20,0.56502,1.4040000438690186,0.00043526000022888183
8,"(35, 32)",grayscale/full_image,euclidean,50,0.56498,1.4779999256134033,0.0003169600009918213
8,"(35, 32)",grayscale/full_image,hamming,50,0.56498,1.6979999542236328,0.0004434000015258789
8,"(35, 32)",grayscale/full_image,euclidean,100,0.56498,1.4149999618530273,0.00034377999782562253
8,"(35, 32)",grayscale/full_image,hamming,100,0.56498,1.498999834060669,0.0004016800022125244
8,"(35, 32)",grayscale/full_image,euclidean,250,0.56498,1.445000171661377,0.0003721399974822998
8,"(35, 32)",grayscale/full_image,hamming,250,0.56498,1.5950000286102295,0.00047523999691009524
8,"(35, 32)",blackwhite/full_image,euclidean,1,0.5649,1.180999994277954,0.0002735599994659424
8,"(35, 32)",blackwhite/full_image,hamming,1,0.5649,0.9739999771118164,0.0003667199993133545
8,"(35, 32)",blackwhite/full_image,euclidean,4,0.43922,1.136000156402588,0.0002522599983215332
8,"(35, 32)",blackwhite/full_image,hamming,4,0.43922,0.9100000858306885,0.000360939998626709
8,"(35, 32)",blackwhite/full_image,euclidean,20,0.43994,1.056999921798706,0.00024302000045776367
8,"(35, 32)",blackwhite/full_image,hamming,20,0.44016,0.9200000762939453,0.0003465999984741211
8,"(35, 32)",blackwhite/full_image,euclidean,50,0.43994,0.9609999656677246,0.00033129999637603757
8,"(35, 32)",blackwhite/full_image,hamming,50,0.44002,0.9360001087188721,0.0003971199989318848
8,"(35, 32)",blackwhite/full_image,euclidean,100,0.48074,1.0199999809265137,0.00035767999649047853
8,"(35, 32)",blackwhite/full_image,hamming,100,0.48074,1.0509998798370361,0.00046070000171661375
8,"(35, 32)",blackwhite/full_image,euclidean,250,0.56498,1.0180001258850098,0.00037449999809265137
8,"(35, 32)",blackwhite/full_image,hamming,250,0.56498,1.1449999809265137,0.0005488399982452393
8,"(35, 32)",grayscale/string_image,euclidean,1,0.55604,0.625,0.00014473999977111817
8,"(35, 32)",grayscale/string_image,hamming,1,0.55604,0.7209999561309814,0.0002948200035095215
