Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
128,"(64, 64)",color/full_image/smooth,0.49536,126.14105606079102,0.00048111331939697266,0.5046,0.6931
128,"(64, 64)",color/string_image/smooth,0.49536,134.11136174201965,0.0005004217147827148,0.5046,0.6931
128,"(64, 64)",grayscale/full_image,0.49536,134.76062488555908,0.0004865389633178711,0.5046,0.6931
128,"(64, 64)",blackwhite/full_image,0.49536,139.86485028266907,0.0006518569946289063,0.5046,0.6931
128,"(64, 64)",grayscale/string_image,0.49536,145.5705211162567,0.0005345706176757812,0.5046,0.6931
128,"(48, 64)",blackwhite/string_image,0.5,175.8188192844391,0.0006531333923339844,0.5000,0.6931
128,"(48, 64)",color/string_image/not_smooth,0.5,179.64339470863342,0.0006047828674316406,0.5000,0.6931
128,"(48, 64)",color/string_image/smooth,0.49536,152.95928978919983,0.0006939052200317382,0.5046,0.6931
128,"(48, 64)",color/full_image/not_smooth,0.5,191.05122709274292,0.0007550074768066406,0.5000,0.6931
128,"(48, 64)",color/full_image/smooth,0.49536,152.00441932678223,0.0005711126708984375,0.5046,0.6931
128,"(48, 64)",color/string_image/smooth,0.49536,146.79171872138977,0.0005626554489135742,0.5046,0.6931
128,"(48, 64)",grayscale/full_image,0.49536,157.46332812309265,0.0006526546859741211,0.5046,0.6931
128,"(48, 64)",blackwhite/full_image,0.49536,156.73486399650574,0.0007217499923706054,0.5046,0.6931
128,"(48, 64)",grayscale/string_image,0.49536,165.21986317634583,0.0006199422836303711,0.5046,0.6931
128,"(128, 64)",blackwhite/string_image,0.5,151.1797173023224,0.0005792509841918946,0.5000,0.6931
128,"(128, 64)",color/string_image/not_smooth,0.5,154.91770148277283,0.0005575489807128906,0.5000,0.6931
128,"(128, 64)",color/string_image/smooth,0.49536,123.27640724182129,0.0005405492782592774,0.5046,0.6931
128,"(128, 64)",color/full_image/not_smooth,0.5,157.02724957466125,0.0005765383529663086,0.5000,0.6931
128,"(128, 64)",color/full_image/smooth,0.49536,135.23127627372742,0.0005293046951293946,0.5046,0.6931
128,"(128, 64)",color/string_image/smooth,0.49536,136.94378542900085,0.0005139854431152344,0.5046,0.6931
128,"(128, 64)",grayscale/full_image,0.49536,124.46017098426819,0.0005213259506225586,0.5046,0.6931
128,"(128, 64)",blackwhite/full_image,0.49536,118.23578906059265,0.0005616978836059571,0.5046,0.6931
128,"(128, 64)",grayscale/string_image,0.49536,136.06311464309692,0.000523719482421875,0.5046,0.6931
