Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(64, 64)",blackwhite/string_image,euclidean,20,0.508,0.07799983024597168,8.312000274658203e-05
8,"(64, 64)",blackwhite/string_image,hamming,20,0.50816,0.09599995613098145,0.00012464000701904298
8,"(64, 64)",blackwhite/string_image,euclidean,50,0.49904,0.09399986267089844,9.176000595092773e-05
8,"(64, 64)",blackwhite/string_image,hamming,50,0.49904,0.09599995613098145,0.0001297599983215332
8,"(64, 64)",blackwhite/string_image,euclidean,100,0.5164,0.1119999885559082,9.336000442504883e-05
8,"(64, 64)",blackwhite/string_image,hamming,100,0.51632,0.09299993515014648,0.00013895999908447265
8,"(64, 64)",blackwhite/string_image,euclidean,250,0.51488,0.0820000171661377,0.00012639999389648437
8,"(64, 64)",blackwhite/string_image,hamming,250,0.51656,0.07799983024597168,0.00017336000442504882
8,"(64, 64)",color/string_image/not_smooth,euclidean,1,0.50504,0.06699991226196289,5.15999984741211e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,1,0.50504,0.06100010871887207,0.00010159999847412109
8,"(64, 64)",color/string_image/not_smooth,euclidean,4,0.49216,0.06599998474121094,4.8479995727539065e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,4,0.49224,0.04999995231628418,9.08799934387207e-05
8,"(64, 64)",color/string_image/not_smooth,euclidean,20,0.4916,0.051999807357788086,5.184000015258789e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,20,0.49184,0.04799985885620117,9.984001159667969e-05
8,"(64, 64)",color/string_image/not_smooth,euclidean,50,0.49152,0.05900001525878906,5.680000305175781e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,50,0.49176,0.05800008773803711,9.736000061035156e-05
8,"(64, 64)",color/string_image/not_smooth,euclidean,100,0.49872,0.05800008773803711,6.055999755859375e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,100,0.49896,0.04999995231628418,0.00010552000045776368
8,"(64, 64)",color/string_image/not_smooth,euclidean,250,0.5004,0.06000018119812012,9.19999885559082e-05
8,"(64, 64)",color/string_image/not_smooth,hamming,250,0.50048,0.051000118255615234,0.00014639999389648437
8,"(64, 64)",color/string_image/smooth,euclidean,1,0.49544,0.037999868392944336,3.056001663208008e-05
8,"(64, 64)",color/string_image/smooth,hamming,1,0.49544,0.03600001335144043,8.01599884033203e-05
8,"(64, 64)",color/string_image/smooth,euclidean,4,0.49552,0.03299999237060547,3.384000778198242e-05
8,"(64, 64)",color/string_image/smooth,hamming,4,0.496,0.032000064849853516,7.975999832153321e-05
8,"(64, 64)",color/string_image/smooth,euclidean,20,0.50216,0.031999826431274414,3.144001007080078e-05
8,"(64, 64)",color/string_image/smooth,hamming,20,0.50144,0.029999971389770508,8.055999755859375e-05
8,"(64, 64)",color/string_image/smooth,euclidean,50,0.5048,0.03600001335144043,3.4479999542236326e-05
8,"(64, 64)",color/string_image/smooth,hamming,50,0.5044,0.03099989891052246,8.423999786376954e-05
8,"(64, 64)",color/string_image/smooth,euclidean,100,0.50576,0.039999961853027344,4.343999862670898e-05
8,"(64, 64)",color/string_image/smooth,hamming,100,0.50568,0.032000064849853516,9.24799919128418e-05
8,"(64, 64)",color/string_image/smooth,euclidean,250,0.50688,0.034999847412109375,8.296001434326172e-05
8,"(64, 64)",color/string_image/smooth,hamming,250,0.5068,0.028999805450439453,0.00013447999954223632
8,"(64, 64)",color/full_image/not_smooth,euclidean,1,0.4996,0.1119999885559082,0.00010304000854492188
8,"(64, 64)",color/full_image/not_smooth,hamming,1,0.4996,0.1230001449584961,0.00013624000549316407
8,"(64, 64)",color/full_image/not_smooth,euclidean,4,0.49928,0.12800002098083496,0.00010463998794555665
8,"(64, 64)",color/full_image/not_smooth,hamming,4,0.49928,0.10000014305114746,0.00014031999588012695
8,"(64, 64)",color/full_image/not_smooth,euclidean,20,0.49952,0.1400001049041748,0.00011256000518798828
8,"(64, 64)",color/full_image/not_smooth,hamming,20,0.49952,0.11500000953674316,0.00014375999450683594
8,"(64, 64)",color/full_image/not_smooth,euclidean,50,0.50048,0.11899995803833008,0.0001259200096130371
8,"(64, 64)",color/full_image/not_smooth,hamming,50,0.50048,0.11799979209899902,0.0001486400032043457
8,"(64, 64)",color/full_image/not_smooth,euclidean,100,0.50048,0.127000093460083,0.00013143999099731444
8,"(64, 64)",color/full_image/not_smooth,hamming,100,0.50048,0.10599994659423828,0.00014224000930786133
8,"(64, 64)",color/full_image/not_smooth,euclidean,250,0.49952,0.1119999885559082,0.0001487200164794922
8,"(64, 64)",color/full_image/not_smooth,hamming,250,0.49952,0.11300015449523926,0.00017695999145507814
8,"(64, 64)",color/full_image/smooth,euclidean,1,0.4996,0.13000011444091797,0.00010647998809814453
8,"(64, 64)",color/full_image/smooth,hamming,1,0.4996,0.10199999809265137,0.00013079999923706055
8,"(64, 64)",color/full_image/smooth,euclidean,4,0.49952,0.10800004005432129,9.567998886108399e-05
8,"(64, 64)",color/full_image/smooth,hamming,4,0.49952,0.10100007057189941,0.00012552000045776366
8,"(64, 64)",color/full_image/smooth,euclidean,20,0.49952,0.11299991607666016,9.992000579833984e-05
8,"(64, 64)",color/full_image/smooth,hamming,20,0.49952,0.09800004959106445,0.00013656000137329103
8,"(64, 64)",color/full_image/smooth,euclidean,50,0.50048,0.10400009155273438,0.00010503999710083008
8,"(64, 64)",color/full_image/smooth,hamming,50,0.50048,0.11500000953674316,0.00013312000274658204
8,"(64, 64)",color/full_image/smooth,euclidean,100,0.50048,0.10299992561340332,0.00011007999420166015
8,"(64, 64)",color/full_image/smooth,hamming,100,0.50048,0.11899995803833008,0.00014399999618530275
8,"(64, 64)",color/full_image/smooth,euclidean,250,0.49952,0.13199996948242188,0.00013831998825073242
8,"(64, 64)",color/full_image/smooth,hamming,250,0.49952,0.10799980163574219,0.00017447999954223634
8,"(64, 64)",color/string_image/smooth,euclidean,1,0.49544,0.0409998893737793,3.1040000915527346e-05
8,"(64, 64)",color/string_image/smooth,hamming,1,0.49544,0.0279998779296875,7.760000228881836e-05
8,"(64, 64)",color/string_image/smooth,euclidean,4,0.49552,0.031000137329101562,3.312000274658203e-05
8,"(64, 64)",color/string_image/smooth,hamming,4,0.496,0.03399991989135742,8.13599967956543e-05
8,"(64, 64)",color/string_image/smooth,euclidean,20,0.50216,0.03600001335144043,3.6800003051757814e-05
8,"(64, 64)",color/string_image/smooth,hamming,20,0.50144,0.03500008583068848,8.351999282836914e-05
8,"(64, 64)",color/string_image/smooth,euclidean,50,0.5048,0.03800010681152344,3.9599990844726564e-05
8,"(64, 64)",color/string_image/smooth,hamming,50,0.5044,0.042999982833862305,8.472000122070312e-05
8,"(64, 64)",color/string_image/smooth,euclidean,100,0.50576,0.039999961853027344,4.031999588012695e-05
8,"(64, 64)",color/string_image/smooth,hamming,100,0.50568,0.03899979591369629,9.392000198364257e-05
8,"(64, 64)",color/string_image/smooth,euclidean,250,0.50688,0.03800010681152344,8.2239990234375e-05
8,"(64, 64)",color/string_image/smooth,hamming,250,0.5068,0.031999826431274414,0.00013192001342773437
8,"(64, 64)",grayscale/full_image,euclidean,1,0.48616,0.08100008964538574,6.167999267578125e-05
8,"(64, 64)",grayscale/full_image,hamming,1,0.48616,0.08099985122680664,0.00010128000259399414
8,"(64, 64)",grayscale/full_image,euclidean,4,0.48608,0.0709998607635498,5.704000473022461e-05
8,"(64, 64)",grayscale/full_image,hamming,4,0.48616,0.0839998722076416,0.00011200000762939454
8,"(64, 64)",grayscale/full_image,euclidean,20,0.50072,0.06000018119812012,6.0399990081787106e-05
8,"(64, 64)",grayscale/full_image,hamming,20,0.5008,0.07299995422363281,0.00010584001541137696
8,"(64, 64)",grayscale/full_image,euclidean,50,0.50072,0.06100010871887207,6.920000076293945e-05
8,"(64, 64)",grayscale/full_image,hamming,50,0.5008,0.07299995422363281,0.00010847999572753907
8,"(64, 64)",grayscale/full_image,euclidean,100,0.50072,0.07599997520446777,7.895999908447265e-05
8,"(64, 64)",grayscale/full_image,hamming,100,0.5008,0.06200003623962402,0.00011552000045776367
8,"(64, 64)",grayscale/full_image,euclidean,250,0.50072,0.07000017166137695,0.00011055999755859375
8,"(64, 64)",grayscale/full_image,hamming,250,0.5008,0.06299996376037598,0.00015440000534057617
8,"(64, 64)",blackwhite/full_image,euclidean,1,0.5012,0.1120002269744873,0.0001019999885559082
8,"(64, 64)",blackwhite/full_image,hamming,1,0.50128,0.13400006294250488,0.00013079999923706055
8,"(64, 64)",blackwhite/full_image,euclidean,4,0.49872,0.12100005149841309,0.00010327999114990234
8,"(64, 64)",blackwhite/full_image,hamming,4,0.49872,0.1099998950958252,0.00013256000518798827
8,"(64, 64)",blackwhite/full_image,euclidean,20,0.49872,0.1119999885559082,0.00010831998825073242
8,"(64, 64)",blackwhite/full_image,hamming,20,0.49872,0.10699987411499023,0.0001313599967956543
8,"(64, 64)",blackwhite/full_image,euclidean,50,0.5008,0.10500001907348633,0.0001081599998474121
8,"(64, 64)",blackwhite/full_image,hamming,50,0.5008,0.11599993705749512,0.0001408799934387207
8,"(64, 64)",blackwhite/full_image,euclidean,100,0.5008,0.15599989891052246,0.00013112001419067381
8,"(64, 64)",blackwhite/full_image,hamming,100,0.5008,0.11899995803833008,0.00016856000900268556
8,"(64, 64)",blackwhite/full_image,euclidean,250,0.49864,0.13099980354309082,0.00015968000411987305
8,"(64, 64)",blackwhite/full_image,hamming,250,0.49872,0.10699987411499023,0.0001800800132751465
8,"(64, 64)",grayscale/string_image,euclidean,1,0.4908,0.08800005912780762,8.343999862670898e-05
8,"(64, 64)",grayscale/string_image,hamming,1,0.4908,0.0820000171661377,0.00011440000534057617
8,"(64, 64)",grayscale/string_image,euclidean,4,0.5004,0.09599995613098145,7.80000114440918e-05
