Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(48, 64)",color/full_image/smooth,1000.0,0.5225333333333333,0.54323499491353,0.28472407358037854,6.5269999504089355,0.0003087999979654948
8,"(48, 64)",color/string_image/smooth,0.001,0.492,0.492,1.0,10.369999885559082,0.0005065333366394043
8,"(48, 64)",color/string_image/smooth,0.01,0.5172,0.5088032661393213,0.5403794037940379,10.161999940872192,0.0005076000213623047
8,"(48, 64)",color/string_image/smooth,0.1,0.5172,0.5088032661393213,0.5403794037940379,9.973999977111816,0.0004928000132242838
8,"(48, 64)",color/string_image/smooth,10.0,0.5150666666666667,0.5073346249654027,0.4967479674796748,9.875,0.00048333333333333334
8,"(48, 64)",color/string_image/smooth,100.0,0.5150666666666667,0.5073346249654027,0.4967479674796748,9.881999969482422,0.0005165333112080891
8,"(48, 64)",color/string_image/smooth,1000.0,0.5150666666666667,0.5073346249654027,0.4967479674796748,9.835999965667725,0.0004903999964396159
8,"(48, 64)",grayscale/full_image,0.001,0.49906666666666666,0.0,0.0,2.9030001163482666,0.00012159999211629232
8,"(48, 64)",grayscale/full_image,0.01,0.49906666666666666,0.0,0.0,2.88100004196167,0.00012213331858317058
8,"(48, 64)",grayscale/full_image,0.1,0.49906666666666666,0.0,0.0,2.8589999675750732,0.00012479998270670573
8,"(48, 64)",grayscale/full_image,10.0,0.49906666666666666,0.0,0.0,2.809000015258789,0.00012133334477742513
8,"(48, 64)",grayscale/full_image,100.0,0.49906666666666666,0.0,0.0,2.8439998626708984,0.00012266667683919272
8,"(48, 64)",grayscale/full_image,1000.0,0.49906666666666666,0.0,0.0,2.8440001010894775,0.00012106666564941406
8,"(48, 64)",blackwhite/full_image,0.001,0.49693333333333334,0.0,0.0,2.9089999198913574,0.00012239999771118163
8,"(48, 64)",blackwhite/full_image,0.01,0.49693333333333334,0.0,0.0,3.11899995803833,0.0001282666524251302
8,"(48, 64)",blackwhite/full_image,0.1,0.49666666666666665,0.3333333333333333,0.0005300821627352239,2.8309998512268066,0.00012266667683919272
8,"(48, 64)",blackwhite/full_image,10.0,0.4968,0.42857142857142855,0.0007951232441028359,2.796999931335449,0.00012159999211629232
8,"(48, 64)",blackwhite/full_image,100.0,0.4968,0.42857142857142855,0.0007951232441028359,2.822000026702881,0.00012053330739339193
8,"(48, 64)",blackwhite/full_image,1000.0,0.4968,0.42857142857142855,0.0007951232441028359,2.859999895095825,0.00012000001271565755
8,"(48, 64)",grayscale/string_image,0.001,0.49733333333333335,0.49733333333333335,1.0,8.716000080108643,0.00041279999415079754
8,"(48, 64)",grayscale/string_image,0.01,0.5118666666666667,0.5067159820907144,0.6978552278820376,8.400000095367432,0.0004013333320617676
8,"(48, 64)",grayscale/string_image,0.1,0.5118666666666667,0.5067159820907144,0.6978552278820376,8.344000101089478,0.00042479998270670573
8,"(48, 64)",grayscale/string_image,10.0,0.5121333333333333,0.5069160335086694,0.6975871313672922,8.424000024795532,0.0003855999946594238
8,"(48, 64)",grayscale/string_image,100.0,0.5121333333333333,0.5069160335086694,0.6975871313672922,8.336000204086304,0.0003947999954223633
8,"(48, 64)",grayscale/string_image,1000.0,0.5121333333333333,0.5069160335086694,0.6975871313672922,8.236000061035156,0.00039319998423258465
8,"(128, 64)",blackwhite/string_image,0.001,0.4921333333333333,0.0,0.0,10.253000020980835,0.0004918666839599609
8,"(128, 64)",blackwhite/string_image,0.01,0.5190666666666667,0.5272825499729876,0.5124704646888947,10.703999996185303,0.0004930666605631511
8,"(128, 64)",blackwhite/string_image,0.1,0.5198666666666667,0.5255152109911678,0.5623523234444736,9.961999893188477,0.0004805333455403646
8,"(128, 64)",blackwhite/string_image,10.0,0.5198666666666667,0.5255152109911678,0.5623523234444736,9.82699990272522,0.00047426668802897135
8,"(128, 64)",blackwhite/string_image,100.0,0.5198666666666667,0.5255152109911678,0.5623523234444736,9.662999868392944,0.000458400026957194
8,"(128, 64)",blackwhite/string_image,1000.0,0.5198666666666667,0.5255152109911678,0.5623523234444736,9.530999898910522,0.0004782666842142741
8,"(128, 64)",color/string_image/not_smooth,0.001,0.49893333333333334,0.49893333333333334,1.0,4.678999900817871,0.00020893335342407228
8,"(128, 64)",color/string_image/not_smooth,0.01,0.5112,0.5519125683060109,0.10796365579903795,4.5909998416900635,0.0002149333635965983
8,"(128, 64)",color/string_image/not_smooth,0.1,0.5112,0.5519125683060109,0.10796365579903795,4.442000150680542,0.00020373331705729166
8,"(128, 64)",color/string_image/not_smooth,10.0,0.5110666666666667,0.551440329218107,0.10742918225547836,4.4679999351501465,0.00020399999618530274
8,"(128, 64)",color/string_image/not_smooth,100.0,0.5110666666666667,0.551440329218107,0.10742918225547836,4.867000102996826,0.00020480000178019206
8,"(128, 64)",color/string_image/not_smooth,1000.0,0.5110666666666667,0.551440329218107,0.10742918225547836,4.4709999561309814,0.00021813332239786784
8,"(128, 64)",color/string_image/smooth,0.001,0.49933333333333335,0.0,0.0,8.509000062942505,0.00038946666717529297
8,"(128, 64)",color/string_image/smooth,0.01,0.5084,0.5240793201133145,0.1970705725699068,8.416999816894531,0.00040080000559488934
8,"(128, 64)",color/string_image/smooth,0.1,0.5081333333333333,0.5307262569832403,0.151797603195739,8.413000106811523,0.00038106664021809897
8,"(128, 64)",color/string_image/smooth,10.0,0.5081333333333333,0.5307835820895522,0.1515312916111851,8.30299997329712,0.0003880000114440918
8,"(128, 64)",color/string_image/smooth,100.0,0.5081333333333333,0.5307835820895522,0.1515312916111851,8.33899998664856,0.0003684000015258789
8,"(128, 64)",color/string_image/smooth,1000.0,0.5081333333333333,0.5307835820895522,0.1515312916111851,7.386000156402588,0.0002773333231608073
8,"(128, 64)",color/full_image/not_smooth,0.001,0.48933333333333334,0.0,0.0,4.334000110626221,0.00019746665954589843
8,"(128, 64)",color/full_image/not_smooth,0.01,0.5088,0.6102719033232629,0.10548302872062663,4.1549999713897705,0.00018973331451416017
8,"(128, 64)",color/full_image/not_smooth,0.1,0.5088,0.6102719033232629,0.10548302872062663,3.9729998111724854,0.00018440001805623374
8,"(128, 64)",color/full_image/not_smooth,10.0,0.5088,0.6102719033232629,0.10548302872062663,4.259000062942505,0.0001815999984741211
8,"(128, 64)",color/full_image/not_smooth,100.0,0.5088,0.6102719033232629,0.10548302872062663,4.08299994468689,0.00018213335673014324
8,"(128, 64)",color/full_image/not_smooth,1000.0,0.5088,0.6102719033232629,0.10548302872062663,4.093999862670898,0.000183733336130778
8,"(128, 64)",color/full_image/smooth,0.001,0.49506666666666665,0.0,0.0,3.1619999408721924,0.00012946669260660806
8,"(128, 64)",color/full_image/smooth,0.01,0.49506666666666665,0.0,0.0,2.9240000247955322,0.0001230666478474935
8,"(128, 64)",color/full_image/smooth,0.1,0.49506666666666665,0.0,0.0,3.136000156402588,0.00012800000508626303
8,"(128, 64)",color/full_image/smooth,10.0,0.4952,1.0,0.0002640612622128334,3.053999900817871,0.000124666690826416
8,"(128, 64)",color/full_image/smooth,100.0,0.4952,1.0,0.0002640612622128334,2.9769999980926514,0.00012479998270670573
8,"(128, 64)",color/full_image/smooth,1000.0,0.4952,1.0,0.0002640612622128334,3.049999952316284,0.00013013331095377604
8,"(128, 64)",color/string_image/smooth,0.001,0.49853333333333333,0.0,0.0,6.318000078201294,0.0003031999905904134
8,"(128, 64)",color/string_image/smooth,0.01,0.5008,0.5059985885673959,0.19064078702472748,6.039000034332275,0.0002843999862670898
8,"(128, 64)",color/string_image/smooth,0.1,0.5008,0.5059985885673959,0.19064078702472748,5.865999937057495,0.0002800000190734863
8,"(128, 64)",color/string_image/smooth,10.0,0.5012,0.5094517958412098,0.14331294868386069,5.872999906539917,0.00027719999949137367
8,"(128, 64)",color/string_image/smooth,100.0,0.5012,0.5094517958412098,0.14331294868386069,5.917999982833862,0.0002890666643778483
8,"(128, 64)",color/string_image/smooth,1000.0,0.5012,0.5094517958412098,0.14331294868386069,5.902000188827515,0.00027719999949137367
8,"(128, 64)",grayscale/full_image,0.001,0.4898666666666667,0.4898666666666667,1.0,6.066999912261963,0.00027480001449584963
8,"(128, 64)",grayscale/full_image,0.01,0.5046666666666667,0.4966519679895476,0.8277082199237887,6.052999973297119,0.00027773335774739584
8,"(128, 64)",grayscale/full_image,0.1,0.5046666666666667,0.4966519679895476,0.8277082199237887,5.943000078201294,0.0002705333391825358
8,"(128, 64)",grayscale/full_image,10.0,0.5048,0.4967341606792946,0.8279804028307022,5.922999858856201,0.00027013333638509115
8,"(128, 64)",grayscale/full_image,100.0,0.5048,0.4967341606792946,0.8279804028307022,5.978999853134155,0.0002716000239054362
8,"(128, 64)",grayscale/full_image,1000.0,0.5048,0.4967341606792946,0.8279804028307022,6.180000066757202,0.000271999994913737
8,"(128, 64)",blackwhite/full_image,0.001,0.4964,0.4964,1.0,3.0350000858306885,0.0001261333147684733
8,"(128, 64)",blackwhite/full_image,0.01,0.4964,0.4964,1.0,3.008000135421753,0.00012719999949137368
8,"(128, 64)",blackwhite/full_image,0.1,0.4961333333333333,0.49624362758250606,0.9935535858178888,3.0269999504089355,0.0001269333521525065
8,"(128, 64)",blackwhite/full_image,10.0,0.4961333333333333,0.49624362758250606,0.9935535858178888,3.004999876022339,0.00012653334935506185
8,"(128, 64)",blackwhite/full_image,100.0,0.4961333333333333,0.49624362758250606,0.9935535858178888,2.989000082015991,0.0001270666758219401
8,"(128, 64)",blackwhite/full_image,1000.0,0.4961333333333333,0.49624362758250606,0.9935535858178888,3.11299991607666,0.0001400000254313151
8,"(128, 64)",grayscale/string_image,0.001,0.49893333333333334,0.49893333333333334,1.0,11.078999996185303,0.0005677333196004232
8,"(128, 64)",grayscale/string_image,0.01,0.5073333333333333,0.5061663605352926,0.5154997327632282,10.786999940872192,0.0005306666692097982
8,"(128, 64)",grayscale/string_image,0.1,0.5089333333333333,0.5084021646254628,0.47701763762693744,10.63100004196167,0.0005169333457946777
