Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
32,"(64, 64)",blackwhite/full_image,0.50432,30.27524709701538,0.00021782451629638673,0.4974,0.6962
32,"(64, 64)",grayscale/string_image,0.50432,41.49047589302063,0.00030341869354248046,0.5093,0.6964
32,"(48, 64)",blackwhite/string_image,0.508,41.8122398853302,0.0002796824264526367,0.5088,0.6958
32,"(48, 64)",color/string_image/not_smooth,0.508,43.59955024719238,0.00033824245452880857,0.5227,0.6940
32,"(48, 64)",color/string_image/smooth,0.50432,41.683645248413086,0.00024064228057861327,0.5171,0.6929
32,"(48, 64)",color/full_image/not_smooth,0.508,50.27807545661926,0.0002676580810546875,0.5323,0.6921
32,"(48, 64)",color/full_image/smooth,0.508,38.311888456344604,0.0003265304946899414,0.5216,0.6925
32,"(48, 64)",color/string_image/smooth,0.50432,48.631176471710205,0.00029498626708984374,0.5179,0.6927
32,"(48, 64)",grayscale/full_image,0.50432,42.66443991661072,0.0002753099822998047,0.5166,0.6935
32,"(48, 64)",blackwhite/full_image,0.50432,41.99364876747131,0.00032044105529785156,0.5155,0.6966
32,"(48, 64)",grayscale/string_image,0.50432,41.80809307098389,0.0003373054885864258,0.5120,0.6936
32,"(128, 64)",blackwhite/string_image,0.508,41.55564093589783,0.0003116204071044922,0.5147,0.6958
32,"(128, 64)",color/string_image/not_smooth,0.508,46.910534143447876,0.0003180978012084961,0.5155,0.6928
32,"(128, 64)",color/string_image/smooth,0.50432,72.55872845649719,0.0003218459701538086,0.5213,0.6931
32,"(128, 64)",color/full_image/not_smooth,0.508,42.45413684844971,0.0003123200988769531,0.5331,0.6919
32,"(128, 64)",color/full_image/smooth,0.508,73.35371422767639,0.0003547209167480469,0.5086,0.6949
32,"(128, 64)",color/string_image/smooth,0.50432,63.223304271698,0.0003213772201538086,0.5206,0.6930
32,"(128, 64)",grayscale/full_image,0.50432,64.64522433280945,0.00036275943756103514,0.5003,0.6957
32,"(128, 64)",blackwhite/full_image,0.50432,57.39367723464966,0.00032949756622314454,0.5083,0.6959
32,"(128, 64)",grayscale/string_image,0.50432,56.83027005195618,0.00032980998992919924,0.5061,0.6947
64,"(128, 128)",blackwhite/string_image,0.508,71.70075845718384,0.0003540146255493164,0.5080,0.7100
64,"(128, 128)",color/string_image/not_smooth,0.508,79.32972359657288,0.00030669811248779295,0.5091,0.6951
64,"(128, 128)",color/string_image/smooth,0.50432,71.60804772377014,0.00035558692932128905,0.5221,0.6986
64,"(128, 128)",color/full_image/not_smooth,0.508,63.9454550743103,0.0003157562637329102,0.5061,0.6993
64,"(128, 128)",color/full_image/smooth,0.508,82.79761481285095,0.00048487674713134764,0.5210,0.6968
64,"(128, 128)",color/string_image/smooth,0.50432,95.91665053367615,0.00048092555999755857,0.5166,0.6989
64,"(128, 128)",grayscale/full_image,0.50432,110.95068573951721,0.0005129854583740234,0.5075,0.7042
64,"(128, 128)",blackwhite/full_image,0.50432,98.6850414276123,0.0005087692260742188,0.5120,0.7086
64,"(128, 128)",grayscale/string_image,0.50432,101.05572319030762,0.0006300836181640625,0.5120,0.7049
64,"(64, 64)",blackwhite/string_image,0.508,111.57399725914001,0.000535241470336914,0.5061,0.7198
64,"(64, 64)",color/string_image/not_smooth,0.508,107.29739928245544,0.0006707953643798828,0.5138,0.6949
64,"(64, 64)",color/string_image/smooth,0.50432,112.17374205589294,0.000509862289428711,0.5182,0.6963
64,"(64, 64)",color/full_image/not_smooth,0.508,154.97209405899048,0.0004683240509033203,0.5211,0.7045
64,"(64, 64)",color/full_image/smooth,0.508,84.71434831619263,0.0004470859527587891,0.5237,0.6980
64,"(64, 64)",color/string_image/smooth,0.50432,80.73395347595215,0.00044177650451660157,0.5163,0.6954
64,"(64, 64)",grayscale/full_image,0.50432,70.18249821662903,0.00045130241394042967,0.5077,0.7004
